number,value,params_r0,state
0,inf,10.972066190134196,COMPLETE
1,inf,14.80675755698551,COMPLETE
2,inf,13.728048976881126,COMPLETE
3,inf,9.101168129672477,COMPLETE
4,inf,12.077530373148244,COMPLETE
5,,8.193416021735711,RUNNING
6,7211.0,6.966048764572584,COMPLETE
7,,13.919323312099932,FAIL
8,,5.3086939026537205,FAIL
9,,11.588545288170879,FAIL
10,,14.370632843796342,RUNNING
11,,,FAIL
12,,,FAIL
13,,,FAIL
14,,,FAIL
15,,,FAIL
16,,,FAIL
17,,,RUNNING
18,,5.057278231511864,FAIL
19,,12.696880744093828,FAIL
20,,9.169079994768362,FAIL
21,,8.752328277395435,FAIL
22,,8.682274258942268,FAIL
23,,14.375746346862785,FAIL
24,,8.387823109345849,RUNNING
25,inf,14.794623186557804,COMPLETE
26,inf,9.00430180661904,COMPLETE
27,inf,12.937193279792702,COMPLETE
28,inf,13.320255593107843,COMPLETE
29,inf,5.9058211301732575,COMPLETE
30,inf,7.010774916249892,COMPLETE
31,inf,10.840948917706548,COMPLETE
32,inf,7.646950041881911,COMPLETE
33,inf,5.064128834017248,COMPLETE
34,inf,10.564923586405001,COMPLETE
35,inf,11.513423779579075,COMPLETE
36,inf,8.998042544191069,COMPLETE
37,inf,9.900702138835108,COMPLETE
38,inf,8.055171337700742,COMPLETE
39,inf,6.422128012972423,COMPLETE
40,inf,12.120078946208716,COMPLETE
41,inf,14.709087576197799,COMPLETE
42,inf,10.127641380908262,COMPLETE
43,inf,11.42537944808096,COMPLETE
44,inf,12.87740475434558,COMPLETE
45,inf,13.980079522096792,COMPLETE
46,inf,8.138810590412815,COMPLETE
47,inf,14.07546634530436,COMPLETE
48,inf,14.89735499798104,COMPLETE
49,inf,13.488046849757389,COMPLETE
50,inf,14.113635345319631,COMPLETE
51,inf,12.845620273239678,COMPLETE
52,inf,12.11245734980901,COMPLETE
53,inf,9.758223262654777,COMPLETE
54,inf,12.466806738217716,COMPLETE
